file,type,line,frame
  235 |
  236 |     rtl.act(() => {
  237 |       store.dispatch({type: 'differentState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 240, 'column': 4, 'index': 5419}","  238 |     });
  239 |
> 240 |     expect(store.getState().a.b).toBe('d');
      |    ^ Duplicate Assert
  241 |
  242 |     expect(updateInfos).toHaveLength(1);
  243 |     expect(updateInfos[0]).toEqual(expect.objectContaining({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 276, 'column': 4, 'index': 6415}","  274 |     rtl.render(<Main/>);
  275 |
> 276 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  277 |
  278 |     rtl.act(() => {
  279 |       store.dispatch({type: 'deepEqlState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 276, 'column': 4, 'index': 6415}","  274 |     rtl.render(<Main/>);
  275 |
> 276 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  277 |
  278 |     rtl.act(() => {
  279 |       store.dispatch({type: 'deepEqlState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 282, 'column': 4, 'index': 6535}","  280 |     });
  281 |
> 282 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  283 |
  284 |     expect(updateInfos).toHaveLength(1);
  285 |     expect(updateInfos[0]).toEqual(expect.objectContaining({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 282, 'column': 4, 'index': 6535}","  280 |     });
  281 |
> 282 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  283 |
  284 |     expect(updateInfos).toHaveLength(1);
  285 |     expect(updateInfos[0]).toEqual(expect.objectContaining({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Magic Number,"{'line': 71, 'column': 37, 'index': 1609}","  69 |     expect(store.getState().a.b).toBe('c');
  70 |
> 71 |     expect(updateInfos).toHaveLength(0);
     |                                     ^ Magic Number
  72 |   });
  73 |
  74 |   test('different state after dispatch', () => {"
